yr,zero,one,Botswana,Malawi,Cameroon,Bot_dub
1975,0,0,0,0,0,0
1976,0,0,0,0,0,0
1977,0,0,0,0,0,0
1978,0,0,0,0,0,0
1979,0,0,0,0,0,0
1980,0,0,0,0,0,0
1981,0,0,0,0,0,0
1982,0,0,0,0,0,0
1983,0,0,0,0,0,0
1984,0,0,0,0,0,0
1985,0,0,0,0,0,0
1986,0,0,0,0,0,0
1987,0,0,0,0,0,0
1988,0,0,0,0,0,0
1989,0,0,0,0,0,0
1990,0,0,0,0,0,0
1991,0,0,0,0,0,0
1992,0,0,0,0,0,0
1993,0,0,0,0,0,0
1994,0,0,0,0,0,0
1995,0,0,0,0,0,0
1996,0,0,0,0,0,0
1997,0,0,0,0,0,0
1998,0,0,0,0,0,0
1999,0,0,0,0,0,0
2000,0,0,0,0,0,0
2001,0,0,0,0,0,0
2002,0,0,0,0,0,0
2003,0,0,0,0,0,0
2004,0,0,0,0,0,0
2005,0,0.01,0.013846154,0.007230769,0.005076923,0.027692308
2006,0,0.01,0.027692308,0.014461538,0.010153846,0.055384616
2007,0,0.01,0.041538462,0.021692308,0.015230769,0.083076924
2008,0,0.01,0.055384615,0.028923077,0.020307692,0.11076923
2009,0,0.01,0.069230769,0.036153846,0.025384615,0.138461538
2010,0,0.01,0.071153846,0.043846154,0.028461538,0.142307692
2011,0,0.01,0.073076923,0.051538462,0.031538462,0.146153846
2012,0,0.01,0.075,0.059230769,0.034615385,0.15
2013,0,0.01,0.075,0.059230769,0.034615385,0.15
2014,0,0.01,0.075,0.059230769,0.034615385,0.15
2015,0,0.01,0.075,0.059230769,0.034615385,0.15
